t,W,p_R,B_drive,R_drive
231,1.2511987644850004,0.9685079918384066,0.0,0.0
232,1.2496426757869137,0.968712306556638,0.0,0.0
233,1.2480650745687962,0.9689137777244718,0.0,0.0
234,1.246466461568657,0.9691124599179988,0.0,0.0
235,1.2448473277831757,0.9693084064058631,0.0,0.0
236,1.2432081546814213,0.9695016691860879,0.0,0.0
237,1.2415494144131283,0.9696922990217322,0.0,0.0
238,1.2398715700116905,0.9698803454754212,0.0,0.0
239,1.2381750755920202,0.9700658569427889,0.0,0.0
240,1.236531701231294,0.969818502477747,1.0,1.0
241,1.2349413574018981,0.9695697880769998,1.0,1.0
242,1.233403951612127,0.9693197338414513,1.0,1.0
243,1.2319193883684418,0.969068360193472,1.0,1.0
244,1.230487569138598,0.9688156878748969,1.0,1.0
245,1.2290350276453534,0.9690056705987349,0.0,0.0
246,1.227562221338131,0.9691931668122443,0.0,0.0
247,1.2260695992568162,0.9693782211707244,0.0,0.0
248,1.2245576022040405,0.9695608773343307,0.0,0.0
249,1.2230266629134159,0.9697411779939514,0.0,0.0
250,1.2214772062138293,0.9699191648963335,0.0,0.0
251,1.2199096491898955,0.9700948788684844,0.0,0.0
252,1.2183244013386696,0.970268359841371,0.0,0.0
253,1.2167218647227147,0.9704396468729352,0.0,0.0
254,1.2151024341196206,0.9706087781704507,0.0,0.0
255,1.2134664971680607,0.9707757911122383,0.0,0.0
256,1.2118144345104815,0.9709407222687607,0.0,0.0
257,1.2101466199325075,0.9711036074231155,0.0,0.0
258,1.2084634204991462,0.9712644815909448,0.0,0.0
259,1.2067651966878774,0.97142337903978,0.0,0.0
260,1.205117269449361,0.9711891371076562,1.0,1.0
261,1.2035195641916285,0.9709535965640396,1.0,1.0
262,1.2019720040140027,0.9707167726830187,1.0,1.0
263,1.2004745096700442,0.9704786810352509,1.0,1.0
264,1.1990269995310463,0.9702393374873038,1.0,1.0
265,1.197562527939454,0.9704024245208813,0.0,0.0
266,1.1960814605152685,0.9705635634996033,0.0,0.0
267,1.194584156615508,0.9707227862870429,0.0,0.0
268,1.1930709694514086,0.9708801241018834,0.0,0.0
269,1.191542246203135,0.9710356075330888,0.0,0.0
270,1.1899983281320579,0.9711892665546796,0.0,0.0
271,1.1884395506906529,0.9713411305401258,0.0,0.0
272,1.1868662436300808,0.9714912282763656,0.0,0.0
273,1.185278731105497,0.9716395879774622,0.0,0.0
274,1.1836773317791494,0.9717862372979064,0.0,0.0
275,1.1820623589213082,0.9719312033455765,0.0,0.0
276,1.180434120509087,0.9720745126943641,0.0,0.0
277,1.178792919323196,0.972216191396474,0.0,0.0
278,1.1771390530426808,0.9723562649944095,0.0,0.0
279,1.1754728143376887,0.9724947585326494,0.0,0.0
280,1.1738545165510108,0.9722707538664513,1.0,0.0
281,1.1722841032745055,0.9720454541948941,1.0,0.0
282,1.1707615163966953,0.9718188703919588,1.0,0.0
283,1.1692866960665282,0.9715910135998607,1.0,0.0
284,1.1678595806573857,0.9713618952298131,1.0,0.0
285,1.1664182631183833,0.9715043469621204,0.0,0.0
286,1.164963042359723,0.9716452348861156,0.0,0.0
287,1.163494212492965,0.9717845824446553,0.0,0.0
288,1.1620120629135287,0.9719224126474697,0.0,0.0
289,1.1605168783816016,0.9720587480804141,0.0,0.0
290,1.1590089391014902,0.9721936109145025,0.0,0.0
291,1.1574885207994436,0.9723270229147303,0.0,0.0
292,1.1559558947999822,0.972459005448692,0.0,0.0
293,1.1544113281007637,0.972589579494997,0.0,0.0
294,1.1528550834460163,0.9727187656514893,0.0,0.0
295,1.151287419398569,0.972846584143276,0.0,0.0
296,1.1497085904105073,0.9729730548305692,0.0,0.0
297,1.1481188468924866,0.9730981972163449,0.0,0.0
298,1.146518435281726,0.9732220304538253,0.0,0.0
299,1.144907598108714,0.9733445733537859,0.0,0.0
300,1.143342501671491,0.9731299637019988,1.0,0.0
301,1.1418230963682974,0.9729141173328347,1.0,0.0
302,1.1403493312336817,0.9726970427835343,1.0,0.0
303,1.1389211539049149,0.9724787488326894,1.0,0.0
304,1.1375385105885398,0.9722592445013469,1.0,0.0
305,1.1361437179169285,0.9723854674700629,0.0,0.0
306,1.1347370250405637,0.9725104097021122,0.0,0.0
307,1.133318677345162,0.9726340888818649,0.0,0.0
308,1.1318889165114123,0.9727565223942937,0.0,0.0
309,1.130447980573667,0.9728777273307897,0.0,0.0
310,1.1289961039776013,0.9729977204948563,0.0,0.0
311,1.1275335176368653,0.9731165184076835,0.0,0.0
312,1.1260604489887414,0.9732341373136051,0.0,0.0
313,1.124577122048832,0.973350593185442,0.0,0.0
314,1.123083757464791,0.9734659017297328,0.0,0.0
315,1.1215805725691188,0.9735800783918551,0.0,0.0
316,1.1200677814310398,0.9736931383610393,0.0,0.0
317,1.118545594907476,0.9738050965752774,0.0,0.0
318,1.1170142206931384,0.9739159677261285,0.0,0.0
319,1.1154738633697474,0.974025766263425,0.0,0.0
320,1.1139772668251302,0.9738192666668593,1.0,0.0
321,1.1125243864832781,0.9736115838323314,1.0,0.0
322,1.1111151766608431,0.9734027245836752,1.0,0.0
323,1.109749590536145,0.9731926959620981,1.0,0.0
324,1.10842758011824,0.9729815052274657,1.0,0.0
325,1.107094956985321,0.9730947289034586,0.0,0.0
326,1.1057519324422715,0.9732068855713375,0.0,0.0
327,1.104398714778875,0.9733179888578131,0.0,0.0
328,1.1030355093141353,0.9734280521776081,0.0,0.0
329,1.1016625184398894,0.9735370887372047,0.0,0.0
330,1.1002799416637217,0.97364511153852,0.0,0.0
331,1.0988879756511927,0.9737521333825141,0.0,0.0
332,1.0974868142673946,0.9738581668727294,0.0,0.0
333,1.0960766486178426,0.9739632244187648,0.0,0.0
334,1.094657667088716,0.9740673182396827,0.0,0.0
335,1.093230055386457,0.9741704603673542,0.0,0.0
336,1.0917939965767398,0.9742726626497397,0.0,0.0
337,1.0903496711228222,0.9743739367541081,0.0,0.0
338,1.0888972569232849,0.9744742941701965,0.0,0.0
339,1.0874369293491748,0.9745737462133088,0.0,0.0
340,1.0860185680130634,0.9743743077966327,1.0,0.0
341,1.0846421321215214,0.9741737354715955,1.0,0.0
342,1.0833075799699825,0.9739720347836763,1.0,0.0
343,1.0820148689141638,0.9737692114747951,1.0,0.0
344,1.0807639553415,0.9735652714846771,1.0,0.0
345,1.0795035828376385,0.9736679194195703,0.0,0.0
346,1.0782339334456972,0.9737696651597391,0.0,0.0
347,1.0769551867498437,0.9738705193979612,0.0,0.0
348,1.0756675199088783,0.9739704926738804,0.0,0.0
349,1.0743711076893272,0.9740695953764655,0.0,0.0
350,1.0730661224980538,0.9741678377464292,0.0,0.0
351,1.071752734414395,0.9742652298786052,0.0,0.0
